PSize;VType;OD;ID;H;Kv
DN40;globePN16;88;40;200;28
DN50;globePN16;102;50;230;43
DN65;globePN16;122;65;290;74
DN80;globePN16;138;80;310;113
DN100;globePN16;158;100;350;170
DN125;globePN16;188;125;400;270
DN150;globePN16;212;150;480;393
DN200;globePN16;268;200;600;657
DN250;globePN16;320;250;730;1035
DN300;globePN16;378;300;850;1466
