PSize;VType;OD;ID;H;Kv
1/4"";ballThdG;22;10;50;10000
3/8"";ballThdG;22;10;60;10000
1/2"";ballThdG;26;15;75;10000
3/4"";ballThdG;32;19;80;10000
3/1"";ballThdG;38;25;90;10000
