PSize;OD;thk
DN50;60.32;3.91
DN65;73.02;5.16
DN80;88.9;5.49
DN100;114.3;6.02
DN125;141.3;6.55
DN150;168.27;7.11
DN200;219.07;8.18
DN250;273.05;9.27
DN300;323.85;9.52
DN350;355.6;9.52
DN400;406.4;9.52
DN450;457.2;9.52
DN500;508;9.52
DN600;609.6;9.52
