SSize;stype;H;W;ta;tf
d6;C;6;0;0;0
d8;C;8;0;0;0
d9;C;9;0;0;0
d10;C;10;0;0;0
d12;C;12;0;0;0
d14;C;14;0;0;0
d15;C;15;0;0;0
d16;C;16;0;0;0
d18;C;18;0;0;0
d20;C;20;0;0;0
d22;C;22;0;0;0
d24;C;24;0;0;0
d25;C;25;0;0;0
